Order,Family,genus_species,Adult_habitat,Activity_period,Sex_dichromatism,AH_source,AP_source,SD_source
Anura,Odontophrynidae,Proceratophrys_boiei,Subfossorial,Nocturnal,Absent,IUCN (2019); Haddad et al. (2013),"Anderson and Wiens (2017), Haddad et al. (2013)",Bell et al. (2017) - absence of dynamic dichromatism
Anura,Ranidae,Rana_temporaria,Semiaquatic,Both,Present,AmphibiaWeb (2019),Arnold (2002) - both; Anderson and Wiens (2017) - nocturnal,Bell et al. (2012) - dynamic dichromatism
Anura,Bufonidae,Rhaebo_guttatus,Ground-dwelling,Nocturnal,Absent,pers. obs.,pers. obs.,Kok and Kalamandeen (2008); Bell et al. (2017)
Anura,Bufonidae,Rhinella_icterica,Ground-dwelling,Nocturnal,Present,Haddad et al. (2013),Haddad et al. (2013),Bell et al. (2012)
Anura,Bufonidae,Rhinella_marina,Ground-dwelling,Nocturnal,Present,Inger (1954),Anderson and Wiens (2017),Bell et al. (2012) - ontogenetic dichromatism
Anura,Bufonidae,Rhinella_ornata,Ground-dwelling,Nocturnal,Absent,IUCN (2020),CFBH pers. obs.,Bell et al. (2017)
Anura,Rhinophrynidae,Rhinophrynus_dorsalis,Fossorial,Nocturnal,Absent,AmphibiaWeb (2019); Fouquette (2005); Dodd (2013),Anderson and Wiens (2017),Bell et al. (2017) - absence of dynamic dichromatism
Caudata,Salamandridae,Salamandra_salamandra,Ground-dwelling,Nocturnal,Absent,AmphibiaWeb (2019),AmphibiaWeb (2019),AmphibiaWeb (2020)
Anura,Scaphiopodidae,Scaphiopus_couchii,Ground-dwelling,Nocturnal,Present,AmphibiaWeb (2019); Morey (2005),Anderson and Wiens (2017); Morey (2005),Vásquez and Pfenning (2007); Bell et al. (2012) - ontogenetic dichromatism
Anura,Hylidae,Scinax_boesemani,Scansorial,Nocturnal,Present,AmphibiaWeb (2019),AmphibiaWeb (2019),AmphibiaWeb (2019)
Anura,Hylidae,Scinax_cruentomma,Scansorial,Nocturnal,Absent,IUCN (2019),JWS pers. obs. ,Bell et al. (2017)
Anura,Hylidae,Scinax_hayii,Scansorial,Nocturnal,Present,Haddad et al. (2013),Haddad et al. (2013),Bell et al 2017
Anura,Hylidae,Scinax_rizibilis,Scansorial,Both,Present,IUCN (2019); CFBH pers. obs.,CFBH pers. obs.,Bell et al. (2012)
Anura,Hylidae,Scinax_ruber,Scansorial,Both,Absent,IUCN (2019),Anderson and Wiens (2017),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Bufonidae,Sclerophrys_maculata,Ground-dwelling,Both,Absent,Channing and Howell (2006),Rödel (2000),Channing and Howell (2006)
Anura,Scaphiopodidae,Spea_bombifrons,Ground-dwelling,Nocturnal,Absent,AmphibiaWeb (2019); Farrar and Hey (2005),Anderson and Wiens (2017); Farrar and Hey (2005),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Scaphiopodidae,Spea_multiplicata,Ground-dwelling,Nocturnal,Absent,AmphibiaWeb (2019); Morey (2005),Anderson and Wiens (2017); Morey (2005),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Centrolenidae,Teratohyla_spinosa,Scansorial,Nocturnal,Absent,Leenders (2016),Anderson and Wiens (2017),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Cycloramphidae,Thoropa_taophora,Ground-dwelling,Nocturnal,Absent,Brasileiro et al. (2010),CFBH pers. obs,Bell et al. (2017)
Anura,Centrolenidae,Vitreorana_uranoscopa,Scansorial,Nocturnal,Absent,Haddad et al. (2013),Haddad et al. (2013),CFBH unpublished data; Bell et al. (2017)
Anura,Hylidae,Xenohyla_truncata,Scansorial,Nocturnal,Absent,IUCN (2020),Da Silva and De Britto-Pereira (2006),Bell et al. (2017)
Anura,Pipidae,Xenopus_laevis,Aquatic,Both,Absent,Channing and Rödel (2019),Behangana et al. (2009),Bell et al. (2017) - absence of dynamic dichromatism
