Wavelength_nm,Ceratobatrachus_guntheri_JWS881_field,Mantella_betsileo_JWS882_field,Epipedobates_tricolor_JWS883_field,Boophis_erythrodactylus_JWS884_field,Phrynomantis_microps_JWS885_field,Hemisus_marmoratus_JWS886_field,Kassina_senegalensis_JWS888_field,Hyperolius_fusciventris_JWS889_field,Lepidobatrachus_laevis_JWS890_field,Kaloula_pulchra_JWS891_field,Megophrys_sp_MW11584_field,Adenomera_hylaedactylus_MW9950_field,Boana_calcarata_MW11133_field,Boana_cinerascens_MW11090_field,Boana_diabolica_MW11091_field,Callimedusa_tomopterna_MW11132_field,Chiasmocleis_shudikarensis_MW9969_field,Dendropsophus_leucophyllatus_MW9992_field_1,Dendropsophus_leucophyllatus_MW9992_field_2,Dendropsophus_sp_MW11106_field_1,Dendropsophus_sp_MW11106_field_2,Dendropsophus_sp_MW11106_field_1b,Hyalinobatrachium_cappellei_MW11140_field_2,Hyalinobatrachium_cappellei_MW11140_field_1,Leptodactylus_mystaceus_MW11105_field,Leptodactylus_pentadactylus_MW9968_cornea_field,Leptodactylus_pentadactylus_MW9968_field,Leptodactylus_pentadactylus_MW9998_field,Leptodactylus_rhodomystax_MW11075_field_1,Leptodactylus_rhodomystax_MW11075_field_2,Lithodytes_lineatus_MW11155_field,Osteocephalus_oophagus_MW10000_field,Osteocephalus_taurinus_MW11103_field,Phyllomedusa_vaillantii_MW9985_field,Pristimantis_chiastonotus_MW9949_field,Pristimantis_sp_MW11550_field,Pristimantis_zeuctotylus_MW11112_field,Rhaebo_guttatus_MW11187_cornea_field,Rhaebo_guttatus_MW11187_field,Rhinella_margaritifer_MW11115_field,Rhinella_marina_MW9997_cornea_field,Rhinella_marina_MW9997_field,Scinax_boesmani_MW9993_field,Scinax_sp_MW11111_field,Phyllomedusa_sp_tad_MW11127_field
643.187,34.39706037,11.98863986,80.25636165,25.51307331,78.97226635,56.46385109,35.98537971,48.19075985,68.03766976,50.76110534,93.54275108,22.08788943,63.77000717,96.27384657,131.1566218,103.2116447,52.68432132,27.17978906,27.23624356,90.52947549,76.76560914,25.50241324,18.51702033,24.65177253,79.88313283,59.18788288,25.75440191,101.6730184,48.0595237,69.52180826,62.42104079,47.98699633,107.4360777,21.55756925,25.87572777,35.0633201,47.62741841,87.91078627,101.1550712,110.2787571,98.66671877,84.62643176,86.78936699,61.0793374,23.63551064
643.462,34.42153102,11.69080507,80.71282676,25.48842749,79.42135305,56.08634458,35.95879888,48.09862425,68.85909501,50.56170933,93.59174002,22.23682783,63.88543017,97.62319119,131.4273021,103.5274985,52.1200023,27.2387217,26.7832953,89.16385984,76.80581442,25.94347289,17.59469882,24.92020482,80.15916972,58.31180585,25.98516073,100.803968,48.11403119,69.7443109,61.94464221,48.25561397,106.8077763,22.0054289,25.80949551,35.39617239,46.99821325,87.93856865,100.5260158,109.3282086,98.4976447,85.06352287,86.74952796,61.79387388,23.49783889
643.738,33.61361923,12.21530049,80.2276935,25.48850374,79.27723027,56.05552351,36.75188174,48.26711689,68.55266334,50.51963702,93.86732825,22.28676831,63.55589957,97.41323084,130.4001067,104.1348414,52.85014618,27.15515481,27.1321486,88.3683031,76.78004951,26.20319208,17.10307916,25.31072604,80.46247423,59.36727549,26.26403455,100.8810163,48.81281745,69.499077,62.49950124,48.30495562,105.8636242,22.24595171,25.43816402,35.68556472,47.24685357,87.2156463,101.1195568,109.0957629,99.14393507,85.22558192,86.53154907,62.13904086,23.58722727
644.014,33.69536311,12.27753401,80.65179915,25.86522715,79.21508742,55.72752455,36.99788604,48.64454201,68.52733016,50.47804337,93.64270821,22.31515873,63.45190509,96.64495424,129.8012391,104.1886784,53.40327689,27.15820172,27.10541573,87.59467611,76.80396205,25.94269628,16.58189947,24.02665083,80.33380929,59.53922291,26.37654938,100.7900286,48.93149541,68.84760298,62.43202518,48.03624846,105.7693713,22.77972817,25.38281724,35.61763291,46.6307207,87.3080982,101.2515694,108.399968,100.763772,84.84839697,87.00466031,61.76459464,23.74498178
644.290,33.88136683,12.38691766,80.53685938,25.84150589,79.32576346,55.77428998,37.2045027,48.79195918,68.41106181,50.01605573,93.6689088,22.2852479,63.62950807,95.61781902,129.121902,103.6827415,53.46927034,27.18379525,27.56803351,87.16673007,76.85540871,25.89604585,16.5941328,23.89520769,81.35979433,59.93108717,26.46423409,101.8335186,48.68914809,68.44675222,62.21322509,47.44992471,107.2240057,22.48768066,25.44134158,35.49322688,46.32626543,87.69553394,101.2150665,109.0460461,101.1386931,84.73579889,86.54015248,61.55913844,24.078861
644.566,34.13115255,12.01229166,80.47473718,26.21098593,79.26967405,55.76072177,36.47125261,49.22931877,69.23212808,49.68824504,94.42637583,22.39511609,63.37625616,95.42643839,129.7211095,103.9238155,52.77874895,27.41043598,27.66706394,88.09573794,77.18969831,25.48688139,15.87910043,23.6289728,81.4627675,58.74993526,26.0623897,101.6598862,48.2820229,68.19989266,62.51882507,47.36517499,107.9447016,22.47599447,25.65048955,35.12633767,46.79703376,88.17298447,101.2989986,110.0277215,101.2960636,82.79637945,86.9328795,62.20122228,23.9344149
644.842,33.84664752,12.15332554,80.44184193,26.05265644,78.99903613,55.49595098,36.08197459,48.90852551,69.34444548,49.63543714,94.40499061,22.4106754,63.25271339,95.71918823,131.8233781,104.0965648,52.96129211,27.43660777,27.96998112,88.215389,77.32479181,25.83580017,15.42556393,26.16154018,82.12394586,58.42033767,25.98913465,101.0794087,48.12553885,68.92839545,62.73555474,47.14543228,106.8812808,22.27806602,25.77566821,35.36290145,47.05989636,87.64857608,100.9104812,109.0133818,101.0077931,82.43185239,86.95236217,62.18177336,23.78806909
645.118,34.00180258,12.20575955,80.63694285,26.06251201,79.4288058,55.54224403,36.37691803,48.84807552,69.18532668,50.3942473,95.1655673,22.44104861,62.96117934,96.4409615,131.8315698,104.3546691,52.82016921,27.41127441,27.86763541,89.83098328,77.69710861,25.96568691,15.83698926,24.92114774,81.46209887,58.51213158,26.08130873,100.2857072,47.64096397,68.94022261,63.2519961,47.99840724,107.0144419,22.43390669,25.87612598,35.42809077,46.76268879,87.89448078,101.0912621,107.7590315,102.0818416,83.11005362,87.5733182,62.00089117,23.56386238
645.393,33.87881416,12.65442678,80.37923219,25.99352245,79.71036692,55.48579644,36.80795732,48.12421358,68.77707679,50.56174503,94.82395902,22.32166572,63.15304471,96.28104879,130.9584987,103.6477272,52.7700601,27.23166261,27.50912224,90.39838378,78.1245425,26.3515391,16.82902268,23.68640858,81.32941698,59.29992013,26.00844795,100.947237,48.28136793,69.18417502,62.37611407,47.51712315,106.5562923,22.7330474,25.7931893,35.64007216,46.26878895,88.1785554,100.8905937,107.3544208,102.5724247,84.46290614,87.43327587,60.81206828,23.41627453
645.669,33.98821284,12.43933378,80.4063436,25.81367708,79.87871313,55.30598739,37.37160459,48.07554011,68.58320719,50.80132687,95.47296543,22.45779377,62.98967669,95.62879221,129.7902159,104.8911768,52.88245274,27.12617551,27.37400547,91.42775352,77.34283481,25.98620996,17.00789434,22.14262837,81.00551817,59.81030534,26.03069437,102.0904414,48.57975872,68.74277787,62.3773756,48.18691254,107.1053177,22.82314391,25.92041373,35.89903561,46.38200566,88.02870727,100.9954512,108.872886,102.335919,85.50318642,86.6699315,61.42961696,23.12134259
645.945,33.81055571,12.42052798,80.06800428,25.68706848,79.31625268,55.2021,36.87330972,48.37732866,68.10292636,50.71874316,94.94633333,22.15663833,62.84779915,95.08388929,128.3509256,105.0617807,53.23047514,27.14282058,27.42575056,90.18576217,76.69259505,25.67531952,17.07343624,22.16137755,81.38535233,59.69894184,25.99900394,102.3090335,48.88241719,68.33436418,62.56704122,47.39927328,106.3452705,22.65810724,25.52675229,36.00419443,46.76037061,88.48353319,101.1888177,109.3543556,101.4054923,84.56290204,86.64209546,61.11117932,23.15774915
