Order,Family,Subfamily,Genus,Species,tiplabel_WalterPyron2019,match_WalterPyron2019,Field_number,MSP_name,Life_stage,Sex,Expedition
Anura,Hylidae,Scinaxinae,Scinax,boesemani,Scinax_boesemani,exact,MW 9993,BOESMAN TREE FROG,adult,male,FrenchGuiana_Apr-2018
Anura,Hylidae,Lophyohylinae,Osteocephalus,taurinus,Osteocephalus_taurinus,exact,MW 10000,BONE HEAD EGG EATER,adult,unknown,FrenchGuiana_Apr-2018
Anura,Bufonidae,NA,Rhinella,marina,Rhinella_marina,exact,MW 11566,CANE TAD,tadpole,unknown,FrenchGuiana_Apr-2018
Anura,Bufonidae,NA,Rhinella,marina,Rhinella_marina,exact,MW 9997,CANE TOAD,adult,unknown,FrenchGuiana_Apr-2018
Anura,Craugastoridae,Ceuthomantinae,Pristimantis,chiastonotus,Pristimantis_chiastonotus,exact,MW 9949,COMMON RAIN FROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Hylidae,Cophomantinae,Boana,cinerascens,Hypsiboas_cinerascens,exact,MW 11090,DEMERARA FALLS TREE FROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Hylidae,Dendropsophinae,Dendropsophus,minutus,Dendropsophus_minutus,exact,MW 11568,DEN TAD,tadpole,unknown,FrenchGuiana_Apr-2018
Anura,Hylidae,Cophomantinae,Boana,diabolica,Hypsiboas_semilineatus,sub,MW 11091,DIABOLIC TREE FROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Leptodactylidae,Leptodactylinae,Adenomera,andreae,Adenomera_andreae,exact,MW 9950,DIURNAL LEAF LITTER FROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Leptodactylidae,Leptodactylinae,Adenomera,andreae,Adenomera_andreae,exact,MW 11574,DIURNAL LITTER FROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Centrolenidae,Hyalinobatrachinae,Hyalinobatrachium,cappellei,Hyalinobatrachium_cappellei,exact,MW 11140,GLASS FROG,adult,male,FrenchGuiana_Apr-2018
Anura,Craugastoridae,Ceuthomantinae,Pristimantis,zeuctotylus,Pristimantis_zeuctotylus,exact,MW 11550,GREEN RAIN FROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Eleutherodactylidae,Eleutherodactylinae,Eleutherodactylus,johnstonei,Eleutherodactylus_johnstonei,exact,MW 11542,HOQUI CROQUI COQUI,adult,unknown,FrenchGuiana_Apr-2018
Anura,Leptodactylidae,Leptodactylinae,Leptodactylus,sp. Fougassie,Leptodactylus_pentadactylus,sub,MW 11126,LEP TAD,tadpole,unknown,FrenchGuiana_Apr-2018
Anura,Leptodactylidae,Leptodactylinae,Leptodactylus,mystaceus,Leptodactylus_mystaceus,exact,MW 11573,LEP TAD 33,tadpole,unknown,FrenchGuiana_Apr-2018
Anura,Hylidae,Dendropsophinae,Dendropsophus,leucophyllatus,Dendropsophus_leucophyllatus,exact,MW 9992,MARBLED TREE FROG,adult,male,FrenchGuiana_Apr-2018
Anura,Microhylidae,Gastrophryninae,Chiasmocleis,shudikarensis,Chiasmocleis_shudikarensis,exact,MW 9969,NARROW MOUTH FROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Hylidae,Dendropsophinae,Scinax,cruentomma,Scinax_cruentommus,exact,MW 11111,PETITE TREE FROG,adult,male,FrenchGuiana_Apr-2018
Anura,Phyllomedusidae ,NA,Phyllomedusa,sp. Fougassie,Phyllomedusa_tomopterna,sub,MW 11127,PHYLO TAD,tadpole,unknown,FrenchGuiana_Apr-2018
Anura,Phyllomedusidae ,NA,Phyllomedusa,vaillantii,Phyllomedusa_vaillantii,exact,MW 9985,PURPLE MONKEY FROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Leptodactylidae,Leptodactylinae,Leptodactylus,rhodomystax,Leptodactylus_rhodomystax,exact,MW 11075,RED LIP LEP,adult,unknown,FrenchGuiana_Apr-2018
Anura,Hylidae,Dendropsophinae,Dendropsophus,minusculus,Dendropsophus_minusculus,exact,MW 11106,SMALL TREE FROG,adult,unknown,FrenchGuiana_Apr-2018
